genero_id,nome_genero
1,Action
2,Adventure
3,Comedy
4,Drama
5,Ecchi
6,Fantasy
7,Horror
8,Mahou Shoujo
9,Mecha
10,Music
11,Mystery
12,Psychological
13,Romance
14,Sci-Fi
15,Slice of Life
16,Sports
17,Supernatural
18,Thriller
