anime_id,titulo,titulo_ingles,titulo_japones,tipo,fonte,episodios,status,em_exibicao,data_inicio_exibicao,data_fim_exibicao,duracao_min,classificacao_etaria,ano,temporada
10213,Maji de Watashi ni Koi Shinasai!,Majikoi: Oh! Samurai Girls,真剣で私に恋しなさい！,TV,VISUAL_NOVEL,12.0,FINISHED,False,2011-10-02,2011-12-18,23.0,,2011.0,fall
146676,Renai Flops,LOVE FLOPS,恋愛フロップス,TV,ORIGINAL,12.0,FINISHED,False,2022-10-12,2022-12-28,24.0,,2022.0,fall
4087,Michiko to Hatchin,Michiko & Hatchin,ミチコとハッチン,TV,ORIGINAL,22.0,FINISHED,False,2008-10-16,2009-03-19,22.0,,2008.0,fall
10029,Coquelicot-zaka kara,From Up on Poppy Hill,コクリコ坂から,MOVIE,MANGA,1.0,FINISHED,False,2011-07-16,2011-07-16,95.0,,2011.0,summer
10030,Bakuman. 2,,バクマン。2,TV,MANGA,25.0,FINISHED,False,2011-10-01,2012-03-24,24.0,,2011.0,fall
384,GANTZ,Gantz,GANTZ,TV,MANGA,13.0,FINISHED,False,2004-04-12,2004-06-22,23.0,,2004.0,spring
101571,Aggressive Retsuko,Aggretsuko,アグレッシブ烈子,ONA,ORIGINAL,10.0,FINISHED,False,2018-04-20,2018-04-20,15.0,,2018.0,spring
21005,Grisaia no Meikyuu,The Labyrinth of Grisaia,グリザイアの迷宮,SPECIAL,VISUAL_NOVEL,1.0,FINISHED,False,2015-04-12,2015-04-12,48.0,,2015.0,spring
20521,Hamatora THE ANIMATION,Hamatora,ハマトラ THE ANIMATION,TV,ORIGINAL,12.0,FINISHED,False,2014-01-08,2014-03-26,24.0,,2014.0,winter
140501,Seiken Gakuin no Maken Tsukai,The Demon Sword Master of Excalibur Academy,聖剣学院の魔剣使い,ONA,LIGHT_NOVEL,12.0,FINISHED,False,2023-09-26,2023-12-12,24.0,,2023.0,fall
322,Paradise Kiss,,パラダイス・キス,TV,MANGA,12.0,FINISHED,False,2005-10-13,2005-12-29,24.0,,2005.0,fall
21717,Fate/EXTRA Last Encore,Fate/EXTRA Last Encore,Fate/EXTRA Last Encore,TV,VIDEO_GAME,13.0,FINISHED,False,2018-01-28,2018-07-29,24.0,,2018.0,winter
21799,Ajin 2,AJIN: Demi-Human 2,亜人 2,TV,MANGA,13.0,FINISHED,False,2016-10-08,2016-12-24,24.0,,2016.0,fall
138056,Shuumatsu no Valkyrie II,Record of Ragnarok II,終末のワルキューレⅡ,ONA,MANGA,10.0,FINISHED,False,2023-01-26,2023-01-26,24.0,,2023.0,winter
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,TV,MANGA,26.0,FINISHED,False,2007-04-02,2007-10-01,24.0,,2007.0,spring
97730,Seiren,Seiren,セイレン,TV,ORIGINAL,12.0,FINISHED,False,2017-01-06,2017-03-24,25.0,,2017.0,winter
98657,Osake wa Fuufu ni Natte kara,Love is Like a Cocktail,お酒は夫婦になってから,TV_SHORT,MANGA,13.0,FINISHED,False,2017-10-04,2017-12-27,3.0,,2017.0,fall
166710,Isekai Suicide Squad,Suicide Squad ISEKAI,異世界スーサイド・スクワッド,TV,ORIGINAL,10.0,FINISHED,False,2024-06-27,2024-08-15,24.0,,2024.0,summer
154364,Mahoutsukai no Yome SEASON 2,The Ancient Magus' Bride Season 2,魔法使いの嫁 SEASON2,TV,MANGA,12.0,FINISHED,False,2023-04-06,2023-06-22,24.0,,2023.0,spring
5682,Phantom: Requiem for the Phantom,Phantom: Requiem for the Phantom,Phantom 〜Requiem for the Phantom〜,TV,VISUAL_NOVEL,26.0,FINISHED,False,2009-04-03,2009-09-25,24.0,,2009.0,spring
163078,Yoru no Kurage wa Oyogenai,Jellyfish Can’t Swim in the Night,夜のクラゲは泳げない,TV,ORIGINAL,12.0,FINISHED,False,2024-04-07,2024-06-23,24.0,,2024.0,spring
