anime_id,data_coleta,score,scored_by,rank,popularity,members,favorites
128893,2026-08-16,8.0,131341,324.0,98.0,356448,11903
21804,2026-08-16,8.3,146476,2.0,1.0,354674,22488
13601,2026-08-16,8.1,130582,228.0,99.0,353610,14503
106286,2026-08-16,8.1,159646,76.0,8.0,352385,13869
14741,2026-08-16,7.6,157131,,100.0,349717,10921
98460,2026-08-16,7.6,170186,,2.0,349664,16839
12189,2026-08-16,7.9,127909,420.0,101.0,349380,13860
10087,2026-08-16,8.1,159707,246.0,102.0,345606,12983
20474,2026-08-16,7.9,202118,364.0,103.0,341393,14414
5081,2026-08-16,8.2,154034,173.0,104.0,339364,18977
19,2026-08-16,8.8,84367,19.0,105.0,337295,24721
115230,2026-08-16,7.4,142405,,106.0,333082,8326
113936,2026-08-16,8.1,151224,251.0,107.0,332485,8208
21776,2026-08-16,7.7,166269,,108.0,327689,11347
142838,2026-08-16,8.1,139869,243.0,109.0,325970,7229
20829,2026-08-16,7.3,137440,,110.0,325900,8960
99578,2026-08-16,7.8,136340,428.0,111.0,325245,12323
150672,2026-08-16,8.4,143753,114.0,112.0,325137,18839
9756,2026-08-16,8.3,160312,142.0,113.0,322987,23904
137822,2026-08-16,8.0,135136,341.0,114.0,321057,13199
108725,2026-08-16,5.2,127670,,115.0,319851,4688
127720,2026-08-16,8.5,156138,78.0,116.0,318974,13396
116589,2026-08-16,8.3,130658,147.0,117.0,318831,19008
103572,2026-08-16,7.6,163736,,118.0,318404,12145
161645,2026-08-16,8.8,114531,21.0,119.0,317781,26712
133965,2026-08-16,7.6,130536,,120.0,317480,9097
108511,2026-08-16,8.3,131431,164.0,121.0,317361,11098
114535,2026-08-16,8.1,97132,230.0,122.0,314588,10710
21450,2026-08-16,8.4,171849,93.0,123.0,312530,24143
11617,2026-08-16,6.9,155993,,124.0,310746,8947
21128,2026-08-16,8.0,155963,318.0,125.0,309276,7482
130298,2026-08-16,8.1,110682,261.0,126.0,309060,16616
105334,2026-08-16,8.2,117019,191.0,127.0,308626,15881
100388,2026-08-16,8.4,105217,109.0,128.0,306764,20135
113813,2026-08-16,6.5,156600,,129.0,306534,6905
100240,2026-08-16,6.2,147465,,130.0,305492,4057
119661,2026-08-16,8.4,139047,112.0,131.0,303131,11162
176496,2026-08-16,8.4,135252,92.0,132.0,303104,13962
101165,2026-08-16,7.1,141068,,133.0,300691,7446
164,2026-08-16,8.5,145278,25.0,9.0,299252,15288
114236,2026-08-16,7.8,112343,453.0,134.0,298342,6328
102883,2026-08-16,8.5,159019,84.0,135.0,297224,20417
2167,2026-08-16,7.7,122967,,136.0,296976,8236
116006,2026-08-16,7.0,131070,,137.0,296922,6681
918,2026-08-16,8.5,68767,81.0,138.0,293102,17178
6746,2026-08-16,7.9,98548,412.0,139.0,291971,9142
106625,2026-08-16,8.3,140407,121.0,140.0,291694,7884
125367,2026-08-16,8.9,134351,13.0,141.0,289214,15858
20799,2026-08-16,8.3,171233,163.0,142.0,288583,12776
20661,2026-08-16,7.8,121454,438.0,143.0,288143,10572
100182,2026-08-16,7.5,140042,,144.0,286845,7829
7054,2026-08-16,7.8,124034,480.0,145.0,285781,10457
151801,2026-08-16,7.6,105956,,146.0,284656,7426
99539,2026-08-16,7.3,142793,,148.0,284455,4179
8074,2026-08-16,6.7,138684,,147.0,284388,5469
11771,2026-08-16,7.8,128947,440.0,149.0,283764,9352
124845,2026-08-16,7.4,104226,,150.0,283180,8119
18153,2026-08-16,7.4,105203,,151.0,278278,6619
141391,2026-08-16,7.9,98027,406.0,152.0,278108,11068
523,2026-08-16,8.1,139818,95.0,10.0,278089,9062
153288,2026-08-16,8.1,114285,241.0,153.0,278051,9729
205,2026-08-16,8.4,99431,108.0,154.0,277822,16902
5680,2026-08-16,7.8,118524,457.0,155.0,276361,13114
13759,2026-08-16,7.8,124145,469.0,156.0,275108,9478
21613,2026-08-16,7.8,114365,,157.0,274273,9985
20698,2026-08-16,8.1,141951,269.0,158.0,274012,9269
226,2026-08-16,6.8,117780,,159.0,273265,6371
166240,2026-08-16,7.9,119444,361.0,160.0,271996,6153
136430,2026-08-16,8.8,98527,18.0,161.0,271162,15303
116742,2026-08-16,8.2,101565,183.0,162.0,266636,8404
139630,2026-08-16,8.2,79826,199.0,163.0,266413,6712
18897,2026-08-16,7.3,116609,,164.0,266042,5609
120697,2026-08-16,6.9,112187,,165.0,265581,5998
112301,2026-08-16,7.2,113332,,166.0,264358,6518
98437,2026-08-16,7.6,132213,,167.0,264037,5306
121,2026-08-16,7.9,113897,394.0,168.0,263870,8039
17895,2026-08-16,7.5,104095,,170.0,263284,7698
19603,2026-08-16,8.0,139081,304.0,169.0,263273,9149
130003,2026-08-16,8.7,126899,37.0,171.0,261846,28234
140439,2026-08-16,8.7,103805,32.0,172.0,261205,11976
14227,2026-08-16,7.2,108064,,173.0,259328,4980
21518,2026-08-16,7.9,134628,418.0,174.0,258933,3663
